priority,action,kind,wp_path,gsc_clicks,gsc_impressions,existing_redirect,suggested_target,needs_yoann,note
P1_HOT,REPLACE,page,/laboratoire-cosmetique-marque-blanche,146,4892,/,/pages/laboratoire-cosmetique-marque-blanche,NO,
P1_HOT,KEEP_EXISTING,page,/creer-sa-marque-de-cosmetique-capillaire-profesionnel-en-ligne,125,2288,/pages/les-etapes-de-creation-de-marque,,YES,WP page without Shopify equivalent
P1_HOT,REPLACE,page,/testez-les-produits,46,1136,/pages/boutique-testeurs,/pages/testez-les-produits,NO,
P1_HOT,REPLACE,page,/laboratoire-cosmetique-lyon,35,1634,/pages/contact,/pages/laboratoire-cosmetique-lyon,NO,
P1_HOT,REPLACE,page,/creme-capillaire-professionnelle-marque-blanche,33,1112,/pages/boutique-testeurs,/pages/creme-capillaire-professionnelle-marque-blanche,NO,
P1_HOT,REPLACE,page,/laboratoire-cosmetique-a-marseille,22,596,/pages/contact,/pages/laboratoire-cosmetique-a-marseille,NO,
P1_HOT,CREATE,page,/contact,15,504,,/pages/contact,NO,
P1_HOT,REPLACE,page,/shampoing-en-marque-blanche,11,278,/pages/boutique-testeurs,/pages/shampoing-en-marque-blanche,NO,
P1_HOT,REPLACE,page,/produit-de-finition-coiffure-marque-blanche,11,626,/pages/boutique-testeurs,/pages/produit-de-finition-coiffure-marque-blanche,NO,
P1_HOT,CREATE,page,/laboratoire-cosmetique-paca,11,387,,/pages/laboratoire-cosmetique-paca,NO,
P1_HOT,CREATE,page,/huile-seche-cheveux-marque-blanche,10,2540,,/pages/huile-seche-cheveux-marque-blanche,NO,
P1_HOT,REPLACE,page,/serum-cheveux-marque-blanche,10,362,/pages/boutique-testeurs,/pages/serum-cheveux-marque-blanche,NO,
P1_HOT,NOOP,page,/la-boutique-my-lab,10,564,/pages/la-boutique-my-lab,/pages/la-boutique-my-lab,NO,
P1_HOT,KEEP_EXISTING,product,/la-boutique-my-lab,10,564,/pages/la-boutique-my-lab,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,TODO_MANUAL,product,/produit/huile-a-barbe-au-cbd,8,217,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,REPLACE,page,/laboratoire-cosmetique-aix-en-provence,6,541,/pages/contact,/pages/laboratoire-cosmetique-aix-en-provence,NO,
P2_RANKED,TODO_MANUAL,page,/temoignages-clients-2,5,94,,,YES,WP page without Shopify equivalent
P2_RANKED,CREATE,page,/catalogue-prix-et-formules-mylab,5,60,,/pages/catalogue-prix-et-formules-mylab,NO,
P2_RANKED,TODO_MANUAL,product_cat,/categorie-produit/gamme-barber,5,151,,,YES,WP category without direct Shopify collection match
P2_RANKED,TODO_MANUAL,product,/produit/pack-barber,4,620,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,TODO_MANUAL,product,/produit/shampoing-blond-vanille-testeur-2,3,265,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,CREATE,page,/rejoignez-nous,2,96,,/pages/rejoignez-nous,NO,
P2_RANKED,NOOP,page,/faq-my-lab,2,131,/pages/faq-my-lab,/pages/faq-my-lab,NO,
P2_RANKED,TODO_MANUAL,product,/produit/shampoing-volume-2,2,9,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,NOOP,page,/modeles-etiquettes,1,1704,/pages/modeles-etiquettes,/pages/modeles-etiquettes,NO,
P2_RANKED,KEEP_EXISTING,page,/les-etapes-pour-creer-sa-marque-de-cosmetique-capillaire,1,107,/pages/les-etapes-de-creation-de-marque,,YES,WP page without Shopify equivalent
P2_RANKED,TODO_MANUAL,product,/produit/baume-matifiant-a-largile-verte-testeur,1,62,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,TODO_MANUAL,product,/produit/shampoing-chocolat-testeur,1,134,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,TODO_MANUAL,product,/produit/shampoing-harepulpe-testeur,1,11,,,YES,WP product without direct Shopify handle match — needs Yoann mapping
P2_RANKED,CREATE,product,/produit/shampoing-protecteur-de-couleur-testeur,1,16,,/products/shampoing-protecteur-de-couleur-testeur,NO,
P2_RANKED,CREATE,product,/produit/shampoing-purifiant-testeur,1,14,,/products/shampoing-purifiant-testeur,NO,
